Ge 1-3,*
Jos 1-5
Ps 1-2
Job 1-2
Isa 1-6
Mt 1-2
Ro 1-2
Ge 4-7
Jos 6-10
Ps 3-5
Job 3-4
Isa 7-11
Mt 3-4
Ro 3-4
Ge 8-11
Jos 11-15
Ps 6-8
Job 5-6
Isa 12-17
Mt 5-7
Ro 5-6
Ge 12-15
Jos 16-20
Ps 9-11
Job 7-8
Isa 18-22
Mt 8-10
Ro 7-8
Ge 16-19
Jos 21-24
Ps 12-14
Job 9-10
Isa 23-28
Mt 11-13
Ro 9-10
Ge 20-23
Jg 1-6
Ps 15-17
Job 11=12
Isa 29-33
Mt 14-16
Ro 11-12
Ge 24-27
Jg 7-11
Ps 18-20
Job 13-14
Isa 34-39
Mt 17-19
Ro 13-14
Ge 28-31
Jg 12-16
Ps 21-23
Job 15-16
Isa 40-44
Mt 20-22
Ro 15-16
Ge32-25
Jg 17-21
Ps 24-26
Job 17-18
Isa 45-50
Mt 23-25
1Co 1-2
Ge 36-39
Ru 1-4
Ps 27-29
Job 19-20
Isa 51-55
Mt 26-28
1Co 3-4
Ge 40-43
1Sa 1-5
Ps 30-32
Job 21-22
Isa 56-61
Mr 1-2
1Co 5-6
Ge 44-47
1Sa 6-10
Ps 33-35
Job 23-24
Isa 62-66
Mr 3-4
1Co 7-8
Ge 48-50
1Sa 11-15
Ps 36-38
Job 25-26
Jer 1-6
Mr 5-6
1Co 9-10
Ex 1-4
1Sa 16-20
Ps 39-41
Job 27-28
Jer 7-11
Mr 7-8
1Co 11-12
Ex 5-8
1Sa 21-25
Ps 42-44
Job 29-30
Jer 12-16
Mr 9-10
1Co 13-14
Ex 9-12
1Sa 26-31
Ps 45-47
Job 31-32
Jer 17-21
Mr 11-12
1Co 15-16
Ex 13-16
2Sa 1-4
Ps 48-50
Job 33-34
Jer 22-26
Mr 13-14
2Co 1-3
Ex 17-20
1Sa 5-9
Ps 51-53
Job 35-36
Jer 27-31
Mr 15-16
2Co 4-5
Ex 21-24 2SA 10-14
Ps 54-56
Job 37-38
Jer 32-36
Lu 1-2
2Co 6-8
Ex 25-28
2Sa 15-19
Ps 57-59
Job 39-40
Jer 37-41
Lu 3-4
2Co 9-10
Ex 29-32
2Sa 20-24
Ps 60-62
Job 41-42
Jer 42-46
Lu 5-6
2Co 11-13
Ex 33-36
1Ki 1-4
Ps 63-65
Pr 1
Jer 47-52
Lu 7-8
Ga 1-3
Ex 37-40
1Ki 5-9
Ps 66-68
Pr 2-3
La 1-5
Lu 9-10
Ga 4-6
Le 1-3
1Ki 10-13
Ps 69-71
Pr 4
Eze 1-6
Lu 11-12
Eph 1-3
Le 4-6
1Ki 14-18
Ps 72-74
Pr 5-6
Eze 7-12
Lu 13-14
Eph 4-6
Le 7-9
1Ki 19-22
Ps 75-77
Pr 7
Eze 13-18
Lu 15-16
Php 1-2
Le 10-12
2Ki 1-5
Ps 78-80
Pr 8-9
Eze 19-24
Lu 17-18
Php 3-4
Le 13-15
2Ki 6-10
Ps 81-83
Pr 10
Eze 25-30
Lu 19-20
Col 1-2
Le 16-18
2Ki 11-15
Ps 84-86
Pr 11-12
Eze 31-36
Lu 21-22
Col 3-4
Le 19-21
2Ki 16-20
Ps 87-89
Pr 13
Eze 37-42
Lu 23-24
1Th 1-3
Le 22-24
2Ki 21-25
Ps 90-92
Pr 14-15
Eze 43-48
Joh 1-2
1Th 4-5
Le 25-27
1Ch 1-4
Ps 93-95
Pr 16
Da 1-6
Joh 3-4
2Th 1-3
Nu 1-3
1Ch 5-9
Ps 96-97
Pr 17-18
Da 7-12
Joh 5-6
1Ti 1-3
Nu 4-6
1Ch 10-14
Ps 99-101
Pr 19
Ho 1-7
Joh 7-9
1Ti 4-6
Nu 7-9
1Ch 15-19
Ps 102-104
Pr 20-21
Ho 8-14
Joh 10-12
2Ti 1-2
Nu 20-12
1Ch 20-24
Ps 105-107
Pr 22
Joe 1-3
Joh 13-15
2Ti 3-4
Nu 13-15
1Ch 25-29
Ps 108-110
Pr 23-24
Am 1-4
Joh 16-18
Tit 1-3
Nu 16-18
2Ch 1-5
Ps 111-113
Pr 25
Am 5-9
Joh 19-21
Phm
Nu 19-21
2Ch 6-10
Ps 114-116
Pr 26-27
Ob
Ac 1-2
Heb 1-4
Nu 22-24
2Ch 11-15
Ps 117-118
Pr 28
Jon 1-4
Ac 3-4
Heb 5-7
Nu 25-27
2Ch 16-20
Ps 119
Pr 29-30
Mic 1-7
Ac 5-6
Heb 8-10
Nu 28-30
2Ch 21-24
Ps 120-121
Pr 31
Na 1-3
Ac 7-8
Heb 11-13
Nu 31-33
2Ch 25-28
Ps 122-124
Ec 1-2
Hab 1-3
Ac 9-10
Jas 1-3
Nu 34-36
2Ch 29-32
Ps 125-127
Ec 3-4
Zep 1-3
Ac 11-12
Jas 4-5
De 104
2Ch 33-36
Ps 128-130
Ec 5-6
Hag 1-2
Ac 13-14
1Pe 1-3
De 5-9
Ezr1-5
Ps 131-133
Ec 7-8
Zec 1-7
Ac 15-16
1Pe 4-5
De 10-13
Ezr 6-10
Ps 134-136
Ec 9-10
Zec 8-14
Ac 17-18
2Pe 1-3
De 14-17
Ne 1-4
Ps 137-139
Ec 11-12
Mal 1-4
Ac 19-20
1Jo 1-2
De 18-21
Ne 5-9
Ps 140-142
Ca 1-2
Re 1-6
Ac 21-22
1Jo 3-4
De 22-25
Ne 10-13
Ps 143-145
Ca 3-4
Re 7-11
Ac 23-24
1Jo 5
De 26-29
Es 1-5
Ps 146-148
Ca 5-6
Re 12-17
Ac 25-26
2Jo/3Jo
De 30-34
Es 6-10
Ps 149-150
Ca 7-8
Re 18-22
Ac 27-28
Jude
